"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"netCDF_b1"	"IL_130512_1001"	"IL_130512_1002"	"isotopes"	"adduct"	"pcgroup"
221.155560893727	221.155560893727	221.155560893727	1772.84461419073	1772.84461419073	1772.84461419073	1	1	417.487774337926	158.514776685655	""	""	"178"
222.071174020681	222.071174020681	222.071174020681	2267.01425237415	2267.01425237415	2267.01425237415	1	1	197.688319098204	99.9823214608266	""	""	"576"
223.028918687717	223.028685513341	223.029151862093	1958.48220814602	1958.03599525511	1958.92842103694	2	2	781.972042745969	487.412875976552	""	""	"103"
223.028868953974	223.028713989648	223.0290239183	2135.34650820269	2134.87868247604	2135.81433392933	2	2	646.838365700943	772.663008898962	""	"[M-H-CH4]- 240.068"	"90"
223.02887942216	223.028561981374	223.029196862945	2059.33952714184	2058.54860400591	2060.13045027776	2	2	980.529872131348	638.767845152761	""	""	"82"
223.029342935511	223.029305322041	223.029380548981	1441.77665945029	1441.42967021908	1442.1236486815	2	2	3371.43720455698	1577.22799534206	""	"[M-H-CH4]- 240.064"	"51"
223.074479911636	223.074479911636	223.074479911636	2269.25536842504	2269.25536842504	2269.25536842504	1	1	683.619381508797	309.434795943182	""	"[M-2H+Na]- 202.111"	"37"
223.02877258877	223.02877258877	223.02877258877	2243.4423734976	2243.4423734976	2243.4423734976	1	1	1779.44692705458	1568.0241782287	""	""	"1"
223.028724764563	223.028724764563	223.028724764563	776.538099279889	776.538099279889	776.538099279889	1	1	307.640911305447	96.399885260734	""	""	"252"
223.028729097874	223.028729097874	223.028729097874	2201.58302357263	2201.58302357263	2201.58302357263	1	1	3753.34311627022	4504.5753643848	""	""	"70"
224.029485154545	224.028708286896	224.030262022194	2243.36228232407	2243.28219115054	2243.4423734976	2	2	400.569626287732	319.305021434543	""	"[3M-2H]2- 150.019 [M-H]- 225.034"	"1"
224.029346827463	224.029082672538	224.029610982388	2201.49823096998	2201.41343836732	2201.58302357263	2	2	866.428490290709	1005.42791585578	""	""	"70"
224.029806081263	224.029523608483	224.030088554043	1441.77665945029	1441.42967021908	1442.1236486815	2	2	791.367679586424	337.590392486563	""	"[M-H-CH3]- 240.064"	"51"
224.029156805506	224.029156805506	224.029156805506	1958.92842103694	1958.92842103694	1958.92842103694	1	1	187.183989756741	116.356150255688	""	""	"103"
224.089020070371	224.089020070371	224.089020070371	2270.37650164977	2270.37650164977	2270.37650164977	1	1	580.479121156968	265.487590965684	""	""	"37"
224.028443529739	224.028443529739	224.028443529739	2060.13045027776	2060.13045027776	2060.13045027776	1	1	228.576518025002	148.204801209153	""	""	"82"
225.007547689323	225.00737176122	225.007723617426	1929.60360630493	1929.16322076332	1930.04399184654	2	2	258.386667155719	250.372584673169	""	""	"396"
225.089277151219	225.088852770225	225.089701532212	2270.45423757804	2270.37650164977	2270.53197350632	2	2	1214.43398717529	474.772553475341	""	""	"37"
225.076884204329	225.076806725689	225.076961682969	337.691641050679	337.189000780084	338.194281321274	2	2	1812.36453472138	2059.11387288047	"[40][M]-"	"[2M-2H+Na]- 102.037"	"7"
225.026283499085	225.025719333176	225.026847664995	2201.49823096998	2201.41343836732	2201.58302357263	2	2	549.773093085969	838.541871731736	""	"[M+Cl+CF3COOH]- 56.0563 [M-H+CF3COOH]- 92.0321"	"70"
225.093130592751	225.093130592751	225.093130592751	1793.50034699247	1793.50034699247	1793.50034699247	1	1	7.17237588508137	249.536005557748	""	""	"250"
225.028675604951	225.028675604951	225.028675604951	1442.1236486815	1442.1236486815	1442.1236486815	1	1	463.336800263593	207.131403677141	""	"[M-H-CH2]- 240.064"	"51"
225.222323026169	225.222323026169	225.222323026169	1972.14241939238	1972.14241939238	1972.14241939238	1	1	20.4301777427115	231.673542023848	""	""	"526"
226.095618616467	226.095618616467	226.095618616467	2268.13538168592	2268.13538168592	2268.13538168592	1	1	359.173757161812	110.349733977727	""	""	"583"
226.080743637423	226.080743637423	226.080743637423	338.194281321274	338.194281321274	338.194281321274	1	1	205.954508088108	295.524489160016	"[40][M+1]-"	""	"328"
227.074415227969	227.074292988769	227.074537467169	1886.05381911791	1885.92744207072	1886.18019616509	2	2	2023.39664141069	452.133478893433	"[21][M]-"	""	"4"
227.105458061121	227.105458061121	227.105458061121	2270.37650164977	2270.37650164977	2270.37650164977	1	1	650.478379782289	209.159017556908	""	""	"435"
227.075097591674	227.075097591674	227.075097591674	2189.54549401478	2189.54549401478	2189.54549401478	1	1	200.182565325522	35.3439502417108	""	""	"390"
227.201472157054	227.201472157054	227.201472157054	1981.54206297855	1981.54206297855	1981.54206297855	1	1	342.085291595831	111.956836340676	""	""	"101"
228.078651365146	228.078651365146	228.078651365146	1885.92744207072	1885.92744207072	1885.92744207072	1	1	274.238303124221	125.613895334812	"[21][M+1]-"	""	"4"
233.155755293417	233.155670862995	233.155839723839	1757.20155786315	1756.78978608328	1757.61332964302	2	2	1265.32988169456	535.150713542353	"[76][M]-"	""	"379"
234.157848600057	234.157848600057	234.157848600057	1757.61332964302	1757.61332964302	1757.61332964302	1	1	214.463685882652	107.49926891259	"[76][M+1]-"	""	"378"
235.061231334593	235.061180224281	235.061282444905	687.609157995687	687.181690501768	688.036625489606	2	2	6362.50891631797	5290.00420526665	"[60][M]-"	"[M-H]- 236.069 [M-H-C6H10O5]- 398.121"	"13"
235.060251330602	235.060251330602	235.060251330602	1173.49872928382	1173.49872928382	1173.49872928382	1	1	2.26963556302454	200.689616220022	""	""	"538"
235.082110058386	235.082110058386	235.082110058386	1690.08865606906	1690.08865606906	1690.08865606906	1	1	12.0919011919725	580.352547089758	""	""	"318"
235.963333894949	235.963090639752	235.963577150145	88.949632933368	88.3902092879488	89.5090565787871	2	2	1798.62791073918	650.41561820193	"[177][M]-"	"[M-H]- 236.971"	"92"
236.065295344777	236.065265267145	236.065325422409	688.169324619314	688.036625489606	688.302023749023	2	2	897.106263528312	778.646649820397	"[60][M+1]-"	""	"13"
236.964850272668	236.964850272668	236.964850272668	89.5105062539517	89.5105062539517	89.5105062539517	1	1	351.267342224179	186.818262941472	"[177][M+1]-"	""	"92"
237.089521666558	237.089521666558	237.089521666558	2270.37650164977	2270.37650164977	2270.37650164977	1	1	994.084449078437	320.164452875997	""	"[M+Cl]- 202.111"	"37"
237.222736049663	237.222736049663	237.222736049663	2032.57883150906	2032.57883150906	2032.57883150906	1	1	9.84168034369993	185.171077761333	""	""	"350"
237.974114613819	237.974114613819	237.974114613819	88.3902092879488	88.3902092879488	88.3902092879488	1	1	434.519613031366	135.669966815525	"[177][M+2]-"	""	"92"
238.091791672074	238.091791672074	238.091791672074	2269.25536842504	2269.25536842504	2269.25536842504	1	1	702.759558894861	250.43436409598	""	""	"37"
